utc,tke
2016-01-05 07:20:00,1.26936
2016-01-05 07:40:00,1.24713
2016-01-05 08:00:00,1.21537
2016-01-05 08:20:00,1.22806
2016-01-05 08:40:00,1.27174
2016-01-05 09:00:00,1.30501
2016-01-05 09:20:00,1.29135
2016-01-05 09:40:00,1.21308
2016-01-05 10:00:00,1.11700
2016-01-05 10:20:00,1.04962
2016-01-05 10:40:00,0.998587
2016-01-05 11:00:00,0.978817
2016-01-05 11:20:00,0.965213
2016-01-05 11:40:00,0.947493
2016-01-05 12:00:00,0.936644
2016-01-05 12:20:00,0.915473
2016-01-05 12:40:00,0.894196
2016-01-05 13:00:00,0.891380
2016-01-05 13:20:00,0.933259
2016-01-05 13:40:00,1.03410
2016-01-05 14:00:00,1.10927
2016-01-05 14:20:00,1.05961
2016-01-05 14:40:00,0.975894
2016-01-05 15:00:00,0.923655
2016-01-05 15:20:00,0.920461
2016-01-05 15:40:00,0.905928
2016-01-05 16:00:00,0.917103
2016-01-05 16:20:00,0.930792
2016-01-05 16:40:00,0.923379
2016-01-05 17:00:00,0.911872
2016-01-05 17:20:00,0.895751
2016-01-05 17:40:00,0.879693
2016-01-05 18:00:00,0.875215
2016-01-05 18:20:00,0.884116
2016-01-05 18:40:00,0.885112
2016-01-05 19:00:00,0.878073
2016-01-05 19:20:00,0.850600
2016-01-05 19:40:00,0.806749
2016-01-05 20:00:00,0.760962
2016-01-05 20:20:00,0.719949
2016-01-05 20:40:00,0.671505
2016-01-05 21:00:00,0.621570
2016-01-05 21:20:00,0.572355
2016-01-05 21:40:00,0.504104
2016-01-05 22:00:00,0.398514
2016-01-05 22:20:00,0.257861
2016-01-05 22:40:00,0.238177
2016-01-05 23:00:00,0.249851
2016-01-05 23:20:00,0.293849
2016-01-05 23:40:00,0.324416
2016-01-06 00:00:00,0.361132
2016-01-06 00:20:00,0.401127
2016-01-06 00:40:00,0.501411
2016-01-06 01:00:00,0.584557
2016-01-06 01:20:00,0.647579
2016-01-06 01:40:00,0.719201
2016-01-06 02:00:00,0.777840
2016-01-06 02:20:00,0.797107
2016-01-06 02:40:00,0.794336
2016-01-06 03:00:00,0.794328
2016-01-06 03:20:00,0.783260
2016-01-06 03:40:00,0.764471
2016-01-06 04:00:00,0.760900
2016-01-06 04:20:00,0.762635
2016-01-06 04:40:00,0.790160
2016-01-06 05:00:00,0.822883
2016-01-06 05:20:00,0.883418
2016-01-06 05:40:00,0.963031
2016-01-06 06:00:00,1.03886
2016-01-06 06:20:00,1.06380
2016-01-06 06:40:00,1.10669
2016-01-06 07:00:00,1.14189
2016-01-06 07:20:00,1.17369
2016-01-06 07:40:00,1.19427
2016-01-06 08:00:00,1.22197
2016-01-06 08:20:00,1.23287
2016-01-06 08:40:00,1.19819
2016-01-06 09:00:00,1.13477
2016-01-06 09:20:00,1.05726
2016-01-06 09:40:00,0.985683
2016-01-06 10:00:00,0.925382
2016-01-06 10:20:00,0.883526
2016-01-06 10:40:00,0.855524
2016-01-06 11:00:00,0.829693
2016-01-06 11:20:00,0.802856
2016-01-06 11:40:00,0.773858
2016-01-06 12:00:00,0.749233
2016-01-06 12:20:00,0.736015
2016-01-06 12:40:00,0.718333
2016-01-06 13:00:00,0.697958
2016-01-06 13:20:00,0.678470
2016-01-06 13:40:00,0.670326
2016-01-06 14:00:00,0.688318
2016-01-06 14:20:00,0.703306
2016-01-06 14:40:00,0.684128
2016-01-06 15:00:00,0.598513
2016-01-06 15:20:00,0.548198
2016-01-06 15:40:00,0.571267
2016-01-06 16:00:00,0.580074
2016-01-06 16:20:00,0.601726
2016-01-06 16:40:00,0.605065
2016-01-06 17:00:00,0.596824
2016-01-06 17:20:00,0.585946
2016-01-06 17:40:00,0.545406
2016-01-06 18:00:00,0.507440
2016-01-06 18:20:00,0.475054
2016-01-06 18:40:00,0.448357
2016-01-06 19:00:00,0.419045
2016-01-06 19:20:00,0.366711
2016-01-06 19:40:00,0.250501
2016-01-06 20:00:00,0.178254
2016-01-06 20:20:00,0.150706
2016-01-06 20:40:00,0.169459
2016-01-06 21:00:00,0.225174
2016-01-06 21:20:00,0.257456
2016-01-06 21:40:00,0.278852
2016-01-06 22:00:00,0.307745
2016-01-06 22:20:00,0.329179
2016-01-06 22:40:00,0.315429
2016-01-06 23:00:00,0.267240
2016-01-06 23:20:00,0.231291
2016-01-06 23:40:00,0.221065
2016-01-07 00:00:00,0.221614
2016-01-07 00:20:00,0.224718
2016-01-07 00:40:00,0.226076
2016-01-07 01:00:00,0.224200
2016-01-07 01:20:00,0.202595
2016-01-07 01:40:00,0.176856
2016-01-07 02:00:00,0.151508
2016-01-07 02:20:00,0.136320
2016-01-07 02:40:00,0.135864
2016-01-07 03:00:00,0.141151
2016-01-07 03:20:00,0.149766
2016-01-07 03:40:00,0.166750
2016-01-07 04:00:00,0.185678
2016-01-07 04:20:00,0.225224
2016-01-07 04:40:00,0.263256
2016-01-07 05:00:00,0.296223
2016-01-07 05:20:00,0.358337
2016-01-07 05:40:00,0.431307
2016-01-07 06:00:00,0.507939
2016-01-07 06:20:00,0.558469
2016-01-07 06:40:00,0.560231
2016-01-07 07:00:00,0.528266
2016-01-07 07:20:00,0.497357
2016-01-07 07:40:00,0.478327
2016-01-07 08:00:00,0.459888
2016-01-07 08:20:00,0.440804
2016-01-07 08:40:00,0.504198
2016-01-07 09:00:00,0.517190
2016-01-07 09:20:00,0.512676
2016-01-07 09:40:00,0.507587
2016-01-07 10:00:00,0.502777
2016-01-07 10:20:00,0.498844
2016-01-07 10:40:00,0.493832
2016-01-07 11:00:00,0.493757
2016-01-07 11:20:00,0.499629
2016-01-07 11:40:00,0.515717
2016-01-07 12:00:00,0.538359
2016-01-07 12:20:00,0.542941
2016-01-07 12:40:00,0.537122
2016-01-07 13:00:00,0.553630
2016-01-07 13:20:00,0.561476
2016-01-07 13:40:00,0.553210
2016-01-07 14:00:00,0.594139
2016-01-07 14:20:00,0.616715
2016-01-07 14:40:00,0.580487
2016-01-07 15:00:00,0.576125
2016-01-07 15:20:00,0.599896
2016-01-07 15:40:00,0.585745
2016-01-07 16:00:00,0.540453
2016-01-07 16:20:00,0.518595
2016-01-07 16:40:00,0.508693
2016-01-07 17:00:00,0.479113
2016-01-07 17:20:00,0.445452
2016-01-07 17:40:00,0.452774
2016-01-07 18:00:00,0.411723
2016-01-07 18:20:00,0.376982
2016-01-07 18:40:00,0.372006
2016-01-07 19:00:00,0.393972
2016-01-07 19:20:00,0.402311
2016-01-07 19:40:00,0.408247
2016-01-07 20:00:00,0.409168
2016-01-07 20:20:00,0.396291
2016-01-07 20:40:00,0.367378
2016-01-07 21:00:00,0.300247
2016-01-07 21:20:00,0.165117
2016-01-07 21:40:00,0.0916830
2016-01-07 22:00:00,0.0489465
2016-01-07 22:20:00,0.0382487
2016-01-07 22:40:00,0.0369562
2016-01-07 23:00:00,0.0386708
2016-01-07 23:20:00,0.0476566
2016-01-07 23:40:00,0.0658862
2016-01-08 00:00:00,0.0804985
2016-01-08 00:20:00,0.126704
2016-01-08 00:40:00,0.164576
2016-01-08 01:00:00,0.343246
2016-01-08 01:20:00,0.429792
2016-01-08 01:40:00,0.406786
2016-01-08 02:00:00,0.405439
2016-01-08 02:20:00,0.412281
2016-01-08 02:40:00,0.412526
2016-01-08 03:00:00,0.407604
2016-01-08 03:20:00,0.388609
2016-01-08 03:40:00,0.389455
2016-01-08 04:00:00,0.430251
2016-01-08 04:20:00,0.485177
2016-01-08 04:40:00,0.541511
2016-01-08 05:00:00,0.592367
2016-01-08 05:20:00,0.636789
2016-01-08 05:40:00,0.704130
2016-01-08 06:00:00,0.787981
2016-01-08 06:20:00,0.828974
2016-01-08 06:40:00,0.801796
2016-01-08 07:00:00,0.783347
2016-01-08 07:20:00,0.757310
2016-01-08 07:40:00,0.706397
2016-01-08 08:00:00,0.667392
2016-01-08 08:20:00,0.649274
2016-01-08 08:40:00,0.678845
2016-01-08 09:00:00,0.649863
2016-01-08 09:20:00,0.618414
2016-01-08 09:40:00,0.602080
2016-01-08 10:00:00,0.617375
2016-01-08 10:20:00,0.658754
2016-01-08 10:40:00,0.674346
2016-01-08 11:00:00,0.699821
2016-01-08 11:20:00,0.850446
2016-01-08 11:40:00,0.871422
2016-01-08 12:00:00,0.979498
2016-01-08 00:00:00,0.00000
2016-01-08 00:20:00,0.0132986
2016-01-08 00:40:00,0.0145979
